Customer_ID,Customer_Name,Gender,Age,Nationality,Booking_ID,Booking_Date,Duration_of_Stay,Room_Type, Room_Rate , Additional_Room_Cost ,Loyalty_Status,Booking_Channel,Economic_Index,Travel_Purpose,Group_Size,Competitor_ID, Competitor_Room_Rate ,Competitor_Occupancy_Rate,Competitor_Promotions,Competitor_Name,Competitor_Rating,Competitor_Pricing_Strategy,Channel_Type,Local_Events,Cancellation
1,Julie Tucker,Female,70,Morocco,1,01/01/2012,7,Deluxe," $1,472.23 ", $483.27 ,No,Direct,4,Other,3,3," $2,506.05 ",8.122,Seasonal Discount,Bahamas Luxury,2,Competitive,Online,Conference,No
2,William Allen,Male,23,Ghana,2,01/02/2012,5,Deluxe," $1,309.12 ", $673.96 ,No,Phone,5,Leisure,1,4," $3,283.44 ",7.558,None,Oxford Road,2,Budget,Online,Concert,No
3,Miss Jennifer Alexander,Male,53,Morocco,3,01/03/2012,5,Single," $1,299.13 ", $808.37 ,No,Phone,1,Event,1,2," $3,836.24 ",6.429,Event Special,Bahamas Luxury,5,Competitive,Agent,Festival,No
4,Mark Williams,Male,48,Morocco,4,01/04/2012,10,Deluxe, $500.00 , $943.52 ,Yes,Direct,3,Event,2,1," $2,240.57 ",6.748,Seasonal Discount,Blue Roof Hotel,5,Budget,Online,Concert,No
5,Sarah Taylor,Male,70,Egypt,5,01/05/2012,2,Single," $1,175.94 ", $696.54 ,No,Event,4,Leisure,1,1," $3,904.48 ",7.044,Loyalty Offer,Luxury Stay,3,Competitive,Third-party,Sports Event,No
6,Heather Brown,Male,70,Ghana,6,01/06/2012,5,Single," $1,700.58 ", $998.09 ,Yes,Event,1,Leisure,3,1," $4,224.72 ",7.509,Loyalty Offer,Luxury Stay,2,Budget,Direct,Conference,No
7,Tiffany Baker,Male,27,Egypt,7,01/07/2012,5,Double, $550.80 , $361.75 ,No,Walk-In,5,Leisure,2,4," $1,356.41 ",9.048,Loyalty Offer,Bahamas Luxury,3,Competitive,Online,Concert,No
8,Cassidy Mcguire,Male,67,Uganda,8,01/08/2012,7,Deluxe," $1,266.96 ", $300.00 ,No,Direct,1,Other,1,4," $1,396.63 ",6.119,Loyalty Offer,Luxury Stay,3,Competitive,Third-party,Sports Event,Yes
9,Dylan Johnson,Male,69,Zimbabwe,9,01/09/2012,10,Single, $711.87 , $785.93 ,No,Direct,2,Other,2,2," $3,621.62 ",9.462,Event Special,Bahamas Luxury,2,Competitive,Online,Concert,No
10,Connie Peterson,Male,35,Egypt,10,01/10/2012,3,Single, $810.20 , $874.62 ,No,Walk-In,5,Event,2,4," $1,535.95 ",5.566,Seasonal Discount,Bahamas Luxury,3,Premium,Agent,None,No
11,Rachel Scott,Male,47,Tanzania,11,01/11/2012,3,Deluxe," $1,240.51 "," $1,279.18 ",No,Walk-In,2,Leisure,2,1," $3,354.71 ",5.638,Loyalty Offer,Oxford Road,4,Premium,Direct,Conference,No
12,James Rivas,Male,29,Morocco,12,01/12/2012,4,Deluxe, $978.33 , $948.79 ,No,Online Travel Agency,3,Other,2,4," $3,388.79 ",5.953,Loyalty Offer,Luxury Stay,4,Budget,Online,Festival,No
13,Derrick Pennington,Male,52,Morocco,13,1/13/2012,3,Suite," $1,382.70 ", $577.75 ,No,Phone,5,Other,4,2," $1,720.36 ",5.808,Seasonal Discount,Luxury Stay,2,Competitive,Third-party,None,Yes
14,Terry Miller,Male,61,Zimbabwe,14,1/14/2012,3,Deluxe," $1,431.59 ", $534.81 ,No,Direct,5,Leisure,2,4, $997.93 ,8.774,Event Special,Bahamas Luxury,5,Budget,Agent,None,No
15,Lonnie Malone,Male,61,Nigeria,15,1/15/2012,5,Suite," $1,403.86 "," $1,037.23 ",No,Online Travel Agency,4,Business,1,1," $3,560.01 ",6.643,Event Special,Blue Roof Hotel,2,Competitive,Direct,Festival,No
16,Michael Christensen,Male,51,Nigeria,16,1/16/2012,7,Deluxe, $601.46 , $984.46 ,Yes,Online Travel Agency,3,Leisure,1,3," $1,703.90 ",6.311,None,Bahamas Luxury,1,Budget,Agent,Concert,No
17,Cory Harris,Male,46,Nigeria,17,1/17/2012,10,Double," $1,740.36 ", $611.19 ,No,Event,3,Business,1,4," $3,874.21 ",6.792,Event Special,Oxford Road,4,Budget,Third-party,Conference,No
18,Katie Robles,Male,40,Algeria,18,1/18/2012,14,Suite," $1,183.66 ", $504.43 ,No,Direct,1,Other,2,2, $978.15 ,5.992,None,Blue Roof Hotel,1,Premium,Direct,None,No
19,Charles Holland,Male,43,Tanzania,19,1/19/2012,5,Single," $1,071.52 ", $737.37 ,Yes,Direct,5,Event,2,4," $3,032.36 ",9.084,Event Special,Blue Roof Hotel,1,Competitive,Agent,None,No
20,Robert Davenport,Female,45,Algeria,20,1/20/2012,3,Single," $1,159.38 "," $1,054.63 ",No,Phone,4,Event,1,1," $3,874.72 ",7.943,Seasonal Discount,Luxury Stay,1,Competitive,Online,Sports Event,No
21,Aaron Rodriguez,Male,35,Zimbabwe,21,1/21/2012,3,Deluxe," $1,331.63 ", $964.54 ,No,Phone,3,Other,2,4," $1,497.22 ",6.398,Loyalty Offer,Luxury Stay,1,Premium,Third-party,Concert,No
22,Robert Pollard,Male,51,Tanzania,22,1/22/2012,4,Suite," $1,499.36 ", $831.85 ,Yes,Event,5,Other,1,4, $898.29 ,9.998,Event Special,Oxford Road,5,Budget,Third-party,None,Yes
23,Sara Miller,Male,51,Egypt,23,1/23/2012,14,Single, $994.58 , $813.14 ,No,Online Travel Agency,2,Event,2,3," $1,958.98 ",9.596,Seasonal Discount,Blue Roof Hotel,2,Competitive,Direct,Conference,No
24,Zachary Rodriguez,Male,70,Tanzania,24,1/24/2012,1,Single, $977.94 , $881.21 ,Yes,Online Travel Agency,4,Leisure,2,2," $4,396.63 ",8.458,Seasonal Discount,Bahamas Luxury,3,Competitive,Direct,None,No
25,April Jones,Female,43,Nigeria,25,1/25/2012,14,Double, $973.85 ," $1,044.28 ",Yes,Online Travel Agency,5,Leisure,5,4," $3,076.09 ",6.469,Event Special,Oxford Road,2,Premium,Direct,Conference,No
26,Adam Lara,Male,38,Ghana,26,1/26/2012,3,Double, $500.00 ," $1,085.64 ",No,Online Travel Agency,1,Leisure,1,3," $1,623.11 ",5.174,Seasonal Discount,Luxury Stay,5,Premium,Online,Conference,No
27,Marcus Carpenter,Male,25,Nigeria,27,1/27/2012,2,Suite," $1,276.32 ", $824.73 ,Yes,Event,5,Business,2,1," $4,462.49 ",7.611,None,Blue Roof Hotel,4,Premium,Direct,None,No
28,Jamie Kelley MD,Male,18,Zimbabwe,28,1/28/2012,4,Single, $500.00 , $525.76 ,Yes,Event,1,Other,1,3," $2,609.21 ",8.863,Event Special,Luxury Stay,5,Budget,Third-party,Conference,Yes
29,Hunter Williams,Female,30,Morocco,29,1/29/2012,10,Double," $1,309.67 "," $1,084.63 ",No,Walk-In,5,Leisure,1,3," $1,562.07 ",6.633,None,Blue Roof Hotel,4,Competitive,Agent,Festival,No
30,Mindy Medina MD,Male,67,Egypt,30,1/30/2012,1,Deluxe," $1,531.18 ", $835.23 ,No,Walk-In,5,Leisure,5,4," $3,989.08 ",9.359,None,Luxury Stay,1,Competitive,Direct,Conference,No
31,Keith Moon,Male,25,South Africa,31,1/31/2012,7,Suite," $1,587.76 "," $1,381.42 ",Yes,Event,3,Leisure,5,4," $3,254.68 ",8.894,Event Special,Bahamas Luxury,5,Budget,Agent,None,No
32,Chloe Hicks,Female,62,Tanzania,32,02/01/2012,5,Double," $1,059.64 ", $300.00 ,Yes,Direct,2,Leisure,1,4," $1,696.90 ",9.434,Event Special,Luxury Stay,3,Premium,Agent,Concert,No
33,Joshua Jacobs DDS,Male,41,Egypt,33,02/02/2012,3,Double," $1,515.67 "," $1,117.53 ",Yes,Phone,2,Leisure,3,4," $3,651.76 ",7.706,Loyalty Offer,Luxury Stay,1,Competitive,Direct,None,No
34,William Farmer,Male,56,Morocco,34,02/03/2012,2,Deluxe," $1,859.21 "," $1,634.89 ",No,Walk-In,3,Event,2,1," $2,987.12 ",8.051,Loyalty Offer,Luxury Stay,3,Budget,Online,Concert,No
35,Sabrina Lin,Male,20,Nigeria,35,02/04/2012,5,Suite, $849.39 , $681.86 ,No,Phone,1,Business,3,3, $906.88 ,6.551,Loyalty Offer,Blue Roof Hotel,3,Competitive,Direct,Sports Event,No
36,Joshua Torres,Female,27,Morocco,36,02/05/2012,3,Deluxe," $1,214.05 "," $1,038.56 ",No,Walk-In,1,Event,2,3," $4,055.61 ",8.385,Seasonal Discount,Bahamas Luxury,3,Competitive,Online,Concert,No
